Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,0.0,1.0,17278.0,17278.0,8639.0,8639.0,0.0,,,1.0,0.026218891143798828,,,,,,,,,,,,,,,,,,,,,-0.06665388128512452,3.7979983234194283,46.772984499988276,-84.43536000000483,,,,
2,8638.0,0.0,0.0,34556.0,34556.0,8639.0,17278.0,0.0,66.52406000000235,66.52406000000235,1.0,3658.050683736801,,,,,,,,,598.2938256728536,614.3490342884769,33407.0078125,542.6200561523438,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,1916.5885,34932.17,1151962.1,0.8958018,0.022871062693136587,0.21347312626667514,4.090380000000891,-2.2000000000010687,4.077162667379561,1.7868767675438118,10.0,-10.0
3,17277.0,0.0,0.0,51834.0,51834.0,8639.0,25917.0,0.0,346.6660499999904,346.6660499999904,1.0,7350.6143000125885,,,,,,,,,574.4840573882527,5.328639186495031,588.7738037109375,552.3819580078125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,24.093529,13.186927,123.97912,4.401444,0.11918426150074911,2.131368030038276,64.2135200000024,-38.21664000000146,4.443798311019121,0.36234092857068856,5.593052555399483,3.3648412152891987
4,25916.0,0.0,0.0,65536.0,65536.0,8639.0,34556.0,0.0,199.8911500000089,199.8911500000089,1.0,11025.330696582794,,,,,,,,,580.8139675782494,2.4925273367862943,589.10693359375,572.6009521484375,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,50.540623,14.968196,173.16046,17.28246,0.06872285040109115,0.4827819175751237,10.429289999999241,-2.705759999998918,3.491158929409279,0.31476683569793545,4.518682174105154,2.35107270188164
5,34555.0,0.0,0.0,65536.0,65536.0,8639.0,43195.0,0.0,217.18809000000192,217.18809000000192,0.0,14736.10413479805,,,,,,,,,580.1493201426925,2.2680587251371582,587.5557861328125,570.83544921875,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,78.18556,18.102491,194.77864,29.84393,0.07466956199895888,1.0343063326638866,32.33616000000143,-14.821839999999838,3.337036808725001,0.3178541144774178,4.097937122514123,2.3105859214672826
6,43195.0,0.0,0.0,65536.0,65536.0,8639.0,51834.0,0.0,,,0.0,18584.099319934845,,,,,,,,,,,,,,,,,,,,,,,,,2.6789941126320884,0.24373563352077982,2.996891758639417,2.1495884146287096
7,51833.0,0.0,0.0,65536.0,65536.0,8639.0,60473.0,0.0,436.43785999995407,436.43785999995407,1.0,22246.700217962265,0.0,0.0,0.0,,,,,,579.5047535491117,3.545439765937376,591.2628173828125,566.9082641601562,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,128.18842,27.123674,335.4852,57.09579,0.15004793239794692,0.9647239848107029,13.970399999998449,-22.730726700001913,2.7560798642703235,0.284233092686785,3.395706618524856,1.5300104548361628
8,60472.0,0.0,0.0,65536.0,65536.0,8639.0,69112.0,0.0,722.7002500000178,722.7002500000178,1.0,25914.409269571304,,,,,,,,,570.9090097175205,6.750804598368174,589.5469970703125,550.324462890625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,155.00069,35.62593,414.75943,67.85517,0.24846533308543234,0.7572916813492244,9.909899999998515,-9.839760000002002,2.7045291056770533,0.31935114627657385,3.558280037858641,1.5537952100528987
9,69111.0,0.0,0.0,65536.0,65536.0,8639.0,77751.0,0.0,418.1677699999922,418.1677699999922,1.0,29560.851818084717,,,,,,,,,559.6534785954979,4.032054019343581,574.2509765625,547.33935546875,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,172.40874,40.13259,457.09015,77.4103,0.14376665050086546,1.1506521081817158,19.695599999997853,-31.573829999999248,3.0269748366963567,0.35716490028247866,3.8995502286862216,1.820321353148209
10,77750.0,0.0,0.0,65536.0,65536.0,8639.0,86390.0,0.0,154.66892000005976,154.66892000005976,0.0,33165.49895334244,,,,,,,,,535.5204760195288,9.024291872553619,560.0986328125,511.71588134765625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,192.08171,49.777912,558.94495,74.31486,0.053039245201085085,0.37932709408654086,6.392545488004248,-3.9487799999980098,3.246585379446498,0.3073824437448467,4.144416337923395,2.424965038106894
