Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,0.0,1.0,17278.0,17278.0,8639.0,8639.0,0.0,,,1.0,0.02427363395690918,,,,,,,,,,,,,,,,,,,,,0.026857511728991763,3.394729752538233,27.16928999999834,-46.9545543210028,,,,
2,8638.0,0.0,0.0,34556.0,34556.0,8639.0,17278.0,0.0,85.373240000019,85.373240000019,1.0,3657.8180894851685,,,,,,,,,605.961414814989,767.6790514929261,32824.88671875,540.9002685546875,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,2524.7512,46779.76,1781248.8,0.94050187,0.029351436523215233,0.43265356871245786,9.990000000003306,-13.625759955997278,4.079351081220834,1.787676465409858,10.000000458182924,-10.000000051730918
3,17277.0,0.0,0.0,51834.0,51834.0,8639.0,25917.0,0.0,372.1867800000449,372.1867800000449,1.0,7350.507249593735,,,,,,,,,574.4857264856796,5.339043847684846,591.2469482421875,551.429443359375,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,43.641415,1740.1447,161759.64,4.227568,0.1279583233335031,2.2962434560810396,40.867100000000164,-76.00000000000045,4.443441702741278,0.36251743500326766,5.621632816700732,3.3611603534547614
4,25916.0,0.0,0.0,65536.0,65536.0,8639.0,34556.0,0.0,216.85000000000446,216.85000000000446,1.0,11025.010256052017,,,,,,,,,580.9955023208904,2.484115718427982,589.6752319335938,572.6788330078125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,51.913116,15.901079,171.73383,17.52213,0.074553326195163,0.49499544705993115,8.150450323999946,-4.568489999999088,3.4916749322600404,0.3146889562650354,4.521457439539766,2.375014474615455
5,34555.0,0.0,0.0,65536.0,65536.0,8639.0,43195.0,0.0,277.67415000002757,277.67415000002757,0.0,14735.989129543304,,,,,,,,,580.2954652913883,2.2924535691522534,588.9030151367188,573.4454345703125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,79.338005,18.402878,168.87166,32.320137,0.09546475204480633,2.0070780222001203,90.00109999999995,-21.720709999998803,3.3369891408472125,0.31785185310101,4.082295723885182,2.267009654358783
6,43195.0,0.0,0.0,65536.0,65536.0,8639.0,51834.0,0.0,,,0.0,18585.775240182877,,,,,,,,,,,,,,,,,,,,,,,,,2.6788065237393903,0.24376684170077206,2.996146099224484,2.1343485334831214
7,51833.0,0.0,0.0,65536.0,65536.0,8639.0,60473.0,0.0,607.5027299999932,607.5027299999932,1.0,22246.614445209503,0.0,0.0,0.0,,,,,,579.687893237966,3.5277961643253404,591.3377685546875,566.452392578125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,129.20619,27.611275,332.89044,57.42523,0.20886026836126642,2.469628150508755,106.07040000000057,-25.747200000001953,2.7565321858748035,0.2843523844944264,3.375180878267566,1.5448667628500794
8,60472.0,0.0,0.0,65536.0,65536.0,8639.0,69112.0,0.0,645.6203000000065,645.6203000000065,1.0,25914.097751140594,,,,,,,,,571.1299752272729,6.727894525708966,589.8076171875,551.0366821289062,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,155.39604,35.445057,490.39447,67.258575,0.2219651409920153,0.9763127717841401,15.829320000000052,-16.96886999999839,2.7041526706957897,0.3194443556189399,3.56113082445536,1.5169982456834994
9,69111.0,0.0,0.0,65536.0,65536.0,8639.0,77751.0,0.0,350.89302999996914,350.89302999996914,1.0,29561.223806381226,,,,,,,,,559.8905380047646,4.048320691467879,573.6259765625,546.333740234375,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,173.5411,40.50003,446.8459,65.071205,0.12063750299836885,1.5658560529003163,65.52480000000162,-18.2140200000008,3.0274084827729704,0.3564340266783452,3.9181811557835324,1.8280687421443877
10,77750.0,0.0,0.0,65536.0,65536.0,8639.0,86390.0,0.0,201.58224999999106,201.58224999999106,0.0,33165.079822063446,,,,,,,,,535.6722608364465,9.03098095884986,560.1571655273438,507.9277038574219,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,192.8534,48.54282,581.4014,79.99458,0.06930425289095654,0.4341938813497919,7.31451842000216,-1.8760500000008733,3.2461774012150464,0.3073359388984726,4.141111167411035,2.40527769551135
